case,location,date,fatalities,injured,total_victims,location.1,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year,date_parsed
Kirkwood City Council shooting,"Kirkwood, Missouri",2/7/2008,6,2,8,Other,52,No,No,"One semiautomatic handgun, one revolver",black,Male,38.580093,-90.40691,Mass,2008,2008-02-07
Westroads Mall shooting,"Omaha, Nebraska",12/5/2007,9,4,13,Other,19,Yes,No,One rifle (assault),white,Male,41.265719,-96.067495,Spree,2007,2007-12-05
Crandon shooting,"Crandon, Wisconsin",10/7/2007,6,1,7,Other,20,Unclear,Yes,One rifle (assault),white,Male,45.5719072,-88.9028922,Mass,2007,2007-10-07
Virginia Tech massacre,"Blacksburg, Virginia",4/16/2007,32,23,55,School,23,Yes,Yes,Two semiautomatic handguns,Asian,Male,37.2295733,-80.4139393,Mass,2007,2007-04-16
Trolley Square shooting,"Salt Lake City, Utah",2/12/2007,6,4,10,Other,18,Unclear,Unknown,"One revolver, one shotgun",white,Male,40.7606467,-111.89109,Mass,2007,2007-02-12
Amish school shooting,"Lancaster County, Pennsylvania",10/2/2006,6,5,11,School,32,No,Yes,"One semiautomatic handgun, one rifle, one shotgun",white,Male,39.9589,-76.0806,Mass,2006,2006-10-02
Capitol Hill massacre,"Seattle, Washington",3/25/2006,7,2,9,Other,28,No,Yes,"Two semiautomatic handguns, one rifle (assault), one shotgun",white,Male,47.6229,-122.3165,Mass,2006,2006-03-25
Goleta postal shootings,"Goleta, California",1/30/2006,8,0,8,Workplace,44,Yes,Yes,One semiautomatic handgun,white,Female,34.425571,-119.866069,Mass,2006,2006-01-30
Red Lake massacre,"Red Lake, Minnesota",3/21/2005,10,5,15,School,16,Yes,No,"Two semiautomatic handguns, one shotgun",Native American,Male,47.876346,-95.0169401,Mass,2005,2005-03-21
Living Church of God shooting,"Brookfield, Wisconsin",3/12/2005,7,4,11,Religious,44,Yes,Yes,One semiautomatic handgun,white,Male,43.0605671,-88.1064787,Spree,2005,2005-03-12
Damageplan show shooting,"Columbus, Ohio",12/8/2004,5,7,12,Other,25,Yes,Yes,One semiautomatic handgun,white,Male,39.9622601,-83.0007065,Mass,2004,2004-12-08
