case,location,date,fatalities,injured,total_victims,location.1,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year,date_parsed
Yountville veterans home shooting,"Yountville, California",3/9/18,3,0,3,Workplace,36,Yes,Yes,semiautomatic rifle; shotgun,Asian,M,38.392496,-122.366528,Mass,2018,2018-03-09
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",2/14/18,17,17,34,School,19,Yes,Yes,semiautomatic rifle,White,M,26.30483,-80.269511,Mass,2018,2018-02-14
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",1/28/18,4,1,5,Other,28,TBD,TBD,semiautomatic rifle and semiautomatic handgun,White,M,40.052151,-79.389166,Mass,2018,2018-01-28
Rancho Tehama shooting spree,"Rancho Tehama, California",11/14/17,5,10,15,Other,44,TBD,No,semiautomatic rifles,White,M,40.018759,-122.393089,Spree,2017,2017-11-14
Texas First Baptist Church massacre,"Sutherland Springs, Texas",11/5/17,26,20,46,Religious,26,Yes,Kelley passed federal criminal background checks; the US Air Force failed to provide information on his criminal history to the FBI,semiautomatic rifle,White,M,29.273282,-98.056488,Mass,2017,2017-11-05
Walmart shooting in suburban Denver,"Thornton, Colorado",11/1/17,3,0,3,Other,47,Unclear,TBD,semiautomatic handgun,White,M,39.876374,-104.986132,Mass,2017,2017-11-01
Edgewood businees park shooting,"Edgewood, Maryland",10/18/17,3,3,6,Workplace,37,Unclear,No,handgun,Black,M,39.452189,-76.309988,Mass,2017,2017-10-18
Las Vegas Strip massacre,"Las Vegas, Nevada",10/1/17,60,546,606,Other,64,Yes,Yes,"23 firearms, mostly rifles; including scopes, and two modified for ""fully automatic"" firing; two were mounted on tripods",White,M,36.095739,-115.171544,Mass,2017,2017-10-01
San Francisco UPS shooting,"San Francisco, California",6/14/17,3,2,5,Workplace,38,Yes,No,two handguns,Asian,M,37.765947,-122.406087,Mass,2017,2017-06-14
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",6/7/17,3,0,3,Workplace,24,Unclear,TBD,shotguns,White,M,41.529546,-75.94722,Mass,2017,2017-06-07
Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,5,0,5,Workplace,45,Unclear,TBD,semiautomatic handgun,-,M,28.580295,-81.294086,Mass,2017,2017-06-05
Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,3,0,3,Workplace,43,Yes,TBD,"handgun, shotgun",White,M,39.959034,-82.596508,Mass,2017,2017-05-12
Fresno downtown shooting,"Fresno, California",4/18/2017,3,0,3,Other,39,Unclear,Unknown,handgun,Black,M,36.746378,-119.800319,Mass,2017,2017-04-18
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,5,6,11,Airport,26,Yes,Yes,"semiautomatic handgun
",Latino,M,26.072751,-80.143382,Mass,2017,2017-01-06
Cascade Mall shooting,"Burlington, Washington",9/23/2016,5,0,5,Other,20,Yes,TBD,Rifle,-,M,48.461367,-122.337918,Mass,2016,2016-09-23
Baton Rouge police shooting,"Baton Rouge, Lousiana",7/17/2016,3,3,6,Other,29,Yes,Unknown,Two semiautomatic rifles; one semiautomatic handgun,Black,M,30.433601,-91.081403,Spree,2016,2016-07-17
Dallas police shooting,"Dallas, Texas",7/7/2016,5,11,16,Other,25,Unclear,Yes,"Semiautomatic rifle, semiautomatic handguns",Black,M,32.7801052,-96.8000082,Mass,2016,2016-07-07
Orlando nightclub massacre,"Orlando, Florida",6/12/2016,49,53,102,Other,29,Unclear,Yes,"Semiautomatic rifle, semiautomatic handgun",Other,M,28.519718,-81.376777,Mass,2016,2016-06-12
Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,3,14,17,Workplace,38,Unclear,Yes,"Semiautomatic rifle, semiautomatic handgun",Black,M,38.135992,-97.425145,Mass,2016,2016-02-25
Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,6,2,8,Other,45,Unclear,Yes,Semiautomatic handgun,White,M,42.236689,-85.674795,Mass,2016,2016-02-20
San Bernardino mass shooting,"San Bernardino, California",12/2/2015,14,21,35,"
Workplace",28,Unclear,"
Yes","Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.",Other,Male & Female,34.075961,-117.27789,Mass,2015,2015-12-02
